"","Individual","Collective","Mean_800","Mean_1250","Mean_2000","Jewish_segment","JLR_station","Damascus_Gate_dis","With_settlements","con800"
"148",0,1,167.14944799085,349.017757326797,982.939479150327,1,0,2822.95360346949,0,58
"149",0,0,333.86711213369,697.584343112299,1556.01834927807,1,0,2564.35454087092,0,86
"150",0,0,369.589395872483,757.597735489933,1314.76124836242,1,0,2383.85290051555,0,88
"151",0,0,188.96911507551,514.75259714966,1210.06976511565,1,0,2299.91050803352,0,65
"152",0,0,266.872803844828,564.884405626437,1407.41623662644,1,0,2323.01856562104,0,79
"153",0,1,263.179728023364,449.141431317757,1053.53109139252,1,0,2450.15006637755,0,78
"154",0,0,127.582442366667,293.20093407619,676.571686714286,0,0,2666.4674291014,0,44
"155",0,0,249.90714856962,322.553220341772,502.279269164557,0,0,2952.43201391126,0,76
"156",0,0,124.024373702128,184.909346617021,250.737633425532,0,0,3289.93221864174,0,43
"157",0,0,NA,NA,NA,0,0,3664.75730084623,0,NA
"158",0,0,31.4989745,50.7078436666667,62.1475008333333,1,0,6400.13277919459,0,14
"159",0,0,23.01409724375,38.5590905625,57.65607031875,1,0,5921.87540251787,0,10
"160",0,0,77.1061070428571,115.597865338857,181.754667591429,1,0,5447.52328134575,0,29
"161",0,0,167.339156528058,251.742402046763,381.189900158273,1,0,4978.19289843066,0,58
"162",0,0,196.103252145217,295.889799746957,504.306091472174,1,0,4515.45039384946,0,67
"163",0,0,34.1246865837838,52.1697839756757,81.1843142702703,1,0,4061.54812125036,0,15
"164",0,0,24.11946706,67.0465409,404.774589,1,0,3619.81314875292,0,11
"165",0,0,70.9864245916667,163.121389129167,559.796188,1,0,3195.29569383817,0,26
"166",0,0,192.193530401124,489.707465134831,1567.37755674157,1,0,2795.8496358416,0,66
"167",0,0,246.141706614894,670.724436351064,1956.54006169149,1,0,2433.85067179238,0,75
"168",0,0,682.257261616667,1548.234893175,3329.128015,1,0,2128.49155340359,0,97
"169",0,1,404.514116062112,921.906827130435,1906.55004137267,1,0,1907.17507788439,0,91
"170",1,2,361.599264875314,858.401856606695,1991.05825223849,1,0,1801.15255449473,0,88
"171",5,0,293.796458801653,731.529504719008,1812.08955244628,0,1,1830.56753424232,0,82
"172",0,1,176.506647621053,416.498735166667,961.537050219298,1,0,1989.42143825017,0,61
"173",1,9,157.699333553192,308.287503312057,533.916832,0,0,2250.46904890053,0,55
"174",0,206,258.328779789394,332.523112507576,483.353865424242,0,0,2582.90868463955,0,77
"175",0,1,232.367785183,321.25641571,375.19057425,0,0,2962.80552431137,0,74
"176",0,0,6.0500889,12.983229,23.822756,0,0,3374.16786028244,0,1
"177",0,0,57.9550643863636,73.7614084636364,115.292391181818,1,0,6278.236610917,0,23
"178",0,0,49.4606296586207,57.6617375051724,79.0039238051724,1,0,5789.91913627549,0,20
"179",0,0,NA,NA,NA,1,0,5303.77838895495,0,NA
"180",0,0,78.6235121611111,175.130606166667,306.643792611111,1,0,4820.47298668596,0,29
"181",0,0,152.89524042987,317.690601484416,662.034675233766,1,0,4340.95007228586,0,53
"182",0,0,304.019629965882,634.758001482353,1425.75871352941,1,0,3866.61717884398,0,83
"183",0,0,128.981164361905,336.524876785714,1064.86408316667,1,0,3399.64740825592,0,45
"184",1,0,234.904680643809,510.824242923809,1491.97393201905,1,0,2943.54715404195,0,74
"185",1,0,398.351782323529,1081.33608033333,2997.54287736274,1,0,2504.26246189028,0,90
"186",0,0,427.508528,1090.74485022826,2698.41012315217,1,0,2092.4111463837,0,91
"187",0,0,755.712689666667,1807.06436422839,3861.14653993827,1,0,1727.72440896087,0,98
"188",0,0,716.034170269853,1646.58967659927,3437.09101836397,1,0,1446.3305818353,0,98
"189",2,15,511.017176817461,1395.79317772222,3382.47935277778,0,1,1303.34413682506,1,94
"190",0,3,189.92329634433,507.580353030928,1556.09126942268,0,0,1343.701216194,1,65
"191",0,0,164.228837112593,365.342360688889,1020.66143831111,1,0,1553.17519064379,0,57
"192",0,19,118.207942758333,249.036723219697,595.452807098485,1,0,1875.94416579087,0,42
"193",0,5,66.2597375785714,186.950192714286,573.693480714286,1,0,2264.06115462578,0,25
"194",0,0,11.493866,20.134222,26.031954,0,0,2689.38139458302,0,3
"195",0,0,NA,NA,NA,0,0,3136.80801744446,0,NA
